,throughput_shannon_nominal_bps,throughput_shannon_nominal_bps,throughput_shannon_nominal_bps,throughput_shannon_nominal_bps,throughput_shannon_effective_bps,throughput_shannon_effective_bps,throughput_shannon_effective_bps,throughput_shannon_effective_bps,throughput_hoffmann_bps,throughput_hoffmann_bps,throughput_hoffmann_bps,throughput_hoffmann_bps,avgTime_ms,avgTime_ms,avgTime_ms,avgTime_ms,precisionRate_percent,precisionRate_percent,precisionRate_percent,precisionRate_percent,avgErrorClicks,avgErrorClicks,avgErrorClicks,avgErrorClicks,avgNormalizedDistance,avgNormalizedDistance,avgNormalizedDistance,avgNormalizedDistance,avgDistanceFromCenter_px,avgDistanceFromCenter_px,avgDistanceFromCenter_px,avgDistanceFromCenter_px
,mean,std,median,sem,mean,std,median,sem,mean,std,median,sem,mean,std,median,sem,mean,std,median,sem,mean,std,median,sem,mean,std,median,sem,mean,std,median,sem
technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUBBLE,3.904,1.534,4.05,0.295,3.279,1.19,3.4,0.229,5.958,2.613,5.4,0.503,1088.154,719.485,782.95,138.465,65.741,21.781,70.0,4.192,0.18,0.233,0.1,0.045,0.966,0.424,0.901,0.082,17.384,7.981,15.74,1.536
POINT,3.17,0.917,3.22,0.177,3.241,0.974,3.27,0.187,4.806,1.304,4.45,0.251,1324.331,748.179,1002.6,143.987,100.0,0.0,100.0,0.0,0.58,0.577,0.4,0.111,0.552,0.068,0.536,0.013,10.206,1.629,9.73,0.314
AREA,3.456,1.322,3.82,0.254,3.284,1.131,3.46,0.218,5.238,2.168,5.05,0.417,1288.596,872.864,849.35,167.983,86.296,15.292,90.0,2.943,0.352,0.384,0.3,0.074,0.708,0.235,0.679,0.045,12.799,4.257,12.45,0.819
