model,technique,movement,clustering,n,slope_ms,intercept_ms,r,r2,p,tp_bps,se
Hoffmann,BUBBLE,STATIC,LOW,57,169.87,216.77,0.3512,0.1233,0.007394,5.887,61.0688
Shannon Effective,BUBBLE,STATIC,LOW,57,102.71,467.76,0.1803,0.0325,0.17962,9.736,75.5643
Shannon Nominal,BUBBLE,STATIC,LOW,57,169.87,216.77,0.3512,0.1233,0.007394,5.887,61.0688
Hoffmann,BUBBLE,STATIC,MEDIUM,55,-2.14,792.85,-0.0044,0.0,0.974417,,66.3346
Shannon Effective,BUBBLE,STATIC,MEDIUM,55,-63.09,970.32,-0.1214,0.0147,0.377207,,70.8434
Shannon Nominal,BUBBLE,STATIC,MEDIUM,55,-2.14,792.85,-0.0044,0.0,0.974417,,66.3346
Hoffmann,POINT,FAST,HIGH,54,118.93,900.85,0.1453,0.0211,0.294445,8.408,112.2962
Shannon Effective,POINT,FAST,HIGH,54,-3.63,1601.35,-0.0027,0.0,0.984395,,184.8328
Shannon Nominal,POINT,FAST,HIGH,54,132.62,1194.64,0.1114,0.0124,0.422687,7.54,164.1068
Hoffmann,POINT,FAST,LOW,54,265.19,-183.39,0.353,0.1246,0.008848,3.771,97.4873
Shannon Effective,POINT,FAST,LOW,54,180.48,758.03,0.1257,0.0158,0.365261,5.541,197.598
Shannon Nominal,POINT,FAST,LOW,54,420.48,9.55,0.3296,0.1086,0.014954,2.378,167.0504
Hoffmann,POINT,FAST,MEDIUM,52,231.44,-50.71,0.3809,0.1451,0.00534,4.321,79.4503
Shannon Effective,POINT,FAST,MEDIUM,52,265.87,504.56,0.1965,0.0386,0.162577,3.761,187.5816
Shannon Nominal,POINT,FAST,MEDIUM,52,351.44,211.33,0.3343,0.1118,0.015427,2.845,140.1198
Hoffmann,POINT,SLOW,HIGH,57,152.05,456.55,0.255,0.065,0.055548,6.577,77.7314
Shannon Effective,POINT,SLOW,HIGH,57,-49.38,1528.37,-0.0412,0.0017,0.760973,,161.5195
Shannon Nominal,POINT,SLOW,HIGH,57,147.71,908.21,0.1381,0.0191,0.30553,6.77,142.8123
Hoffmann,POINT,SLOW,LOW,53,87.34,492.65,0.3585,0.1285,0.008393,11.45,31.8471
Shannon Effective,POINT,SLOW,LOW,53,97.91,683.37,0.1942,0.0377,0.163609,10.213,69.2728
Shannon Nominal,POINT,SLOW,LOW,53,142.41,551.7,0.3234,0.1046,0.018179,7.022,58.3522
Hoffmann,POINT,SLOW,MEDIUM,56,108.7,680.38,0.1605,0.0257,0.237478,9.2,90.9958
Shannon Effective,POINT,SLOW,MEDIUM,56,29.17,1216.58,0.0239,0.0006,0.861388,34.28,166.2727
Shannon Nominal,POINT,SLOW,MEDIUM,56,196.05,720.45,0.1675,0.0281,0.217159,5.101,156.9993
Hoffmann,POINT,STATIC,HIGH,57,136.31,379.87,0.4587,0.2104,0.000333,7.336,35.6063
Shannon Effective,POINT,STATIC,HIGH,57,99.61,485.04,0.2689,0.0723,0.043119,10.039,48.1103
Shannon Nominal,POINT,STATIC,HIGH,57,136.31,379.87,0.4587,0.2104,0.000333,7.336,35.6063
Hoffmann,POINT,STATIC,LOW,57,14.48,757.69,0.0631,0.004,0.640978,69.082,30.8699
Shannon Effective,POINT,STATIC,LOW,57,19.9,737.98,0.0738,0.0054,0.585517,50.241,36.2831
Shannon Nominal,POINT,STATIC,LOW,57,14.48,757.69,0.0631,0.004,0.640978,69.082,30.8699
Hoffmann,POINT,STATIC,MEDIUM,57,74.02,576.5,0.2735,0.0748,0.039536,13.509,35.1034
Shannon Effective,POINT,STATIC,MEDIUM,57,55.28,625.6,0.1889,0.0357,0.159364,18.09,38.7504
Shannon Nominal,POINT,STATIC,MEDIUM,57,74.02,576.5,0.2735,0.0748,0.039536,13.509,35.1034
