participant,technique,movement,clustering,trial,time_ms,errorClicks,amplitude_px,targetRadius,clickInside,distNorm,distPx,targetSpeed,targetVx,targetVy,clickX,clickY,targetX,targetY,prevTargetX,prevTargetY
1,POINT,STATIC,MEDIUM,17,867.0,0.0,174.07,11.969898891665052,True,0.913,10.93,0.0,0.0,0.0,509.0,559.0,519.1,554.7,552.7,383.9
1,POINT,STATIC,MEDIUM,18,686.0,0.0,354.58,21.316569825674712,True,0.328,7.0,0.0,0.0,0.0,173.0,522.0,166.1,520.8,519.1,554.7
1,POINT,STATIC,MEDIUM,19,706.0,0.0,559.5,23.872841671287198,True,0.673,16.06,0.0,0.0,0.0,495.0,71.0,509.1,78.8,166.1,520.8
1,POINT,STATIC,MEDIUM,20,708.0,0.0,488.63,20.727249113395402,True,0.624,12.93,0.0,0.0,0.0,68.0,303.0,68.5,290.1,509.1,78.8
1,POINT,SLOW,HIGH,1,1527.0,1.0,,10.94039704958097,True,0.876,9.59,120.0,-62.58,102.39,223.0,502.0,215.6,508.1,,
1,POINT,SLOW,HIGH,2,839.0,0.0,201.45,12.929806737924942,True,0.782,10.11,120.0,50.33,108.94,86.0,347.0,82.8,356.6,215.6,508.1
1,POINT,SLOW,HIGH,3,1741.0,2.0,459.28,11.853093946758671,True,0.426,5.05,120.0,12.25,119.37,530.0,244.0,529.3,249.0,82.8,356.6
1,POINT,SLOW,HIGH,4,1099.0,1.0,323.98,28.089830885252358,True,0.093,2.63,120.0,-90.29,-79.04,207.0,219.0,207.0,216.4,529.3,249.0
1,POINT,SLOW,HIGH,5,757.0,0.0,224.61,13.14979304575523,True,0.83,10.92,120.0,112.33,42.22,409.0,287.0,419.9,287.9,207.0,216.4
1,POINT,SLOW,HIGH,6,681.0,0.0,82.9,22.02547815678617,True,0.477,10.51,120.0,117.53,-24.22,411.0,205.0,421.5,205.0,419.9,287.9
1,POINT,SLOW,HIGH,7,1823.0,1.0,203.21,11.92545736528871,True,0.523,6.23,120.0,-102.01,-63.2,473.0,408.0,470.7,402.2,421.5,205.0
1,POINT,SLOW,HIGH,8,1627.0,0.0,506.62,15.495404435002346,True,0.867,13.43,120.0,90.7,78.57,71.0,109.0,66.9,96.2,470.7,402.2
1,POINT,SLOW,HIGH,9,1472.0,0.0,444.61,15.997720507752664,True,0.222,3.55,120.0,-80.13,-89.33,190.0,520.0,192.2,522.8,66.9,96.2
1,POINT,SLOW,HIGH,10,1189.0,1.0,482.51,17.37270340319226,True,0.849,14.76,120.0,94.04,74.54,395.0,99.0,393.6,84.3,192.2,522.8
1,POINT,SLOW,HIGH,11,891.0,0.0,387.61,10.56527534895829,True,0.607,6.41,120.0,-120.0,-1.02,259.0,445.0,252.6,445.4,393.6,84.3
1,POINT,SLOW,HIGH,12,965.0,0.0,421.61,11.797173902074631,True,0.837,9.88,120.0,82.22,-87.41,312.0,37.0,309.1,27.6,252.6,445.4
1,POINT,SLOW,HIGH,13,911.0,0.0,423.63,11.972158331978056,True,0.307,3.67,120.0,107.73,52.86,255.0,449.0,258.6,448.2,309.1,27.6
1,POINT,SLOW,HIGH,14,952.0,0.0,393.03,12.955246066661738,True,0.326,4.22,120.0,109.01,-50.18,253.0,59.0,254.8,55.2,258.6,448.2
1,POINT,SLOW,HIGH,15,1111.0,0.0,269.11,14.054146607936719,True,0.13,1.83,120.0,-114.25,-36.7,523.0,77.0,522.8,78.8,254.8,55.2
1,POINT,SLOW,HIGH,16,841.0,0.0,486.23,29.02879247672848,True,0.36,10.44,120.0,-119.98,2.42,459.0,559.0,469.0,562.1,522.8,78.8
1,POINT,SLOW,HIGH,17,870.0,0.0,417.96,13.357598790637404,True,0.235,3.14,120.0,91.87,77.2,323.0,169.0,320.8,171.2,469.0,562.1
1,POINT,SLOW,HIGH,18,819.0,0.0,250.95,25.875280583268196,True,0.737,19.07,120.0,-95.38,72.82,575.0,87.0,556.1,84.1,320.8,171.2
1,POINT,SLOW,HIGH,19,1284.0,1.0,499.2,24.44472281151081,True,0.882,21.56,120.0,-54.03,-107.15,285.0,523.0,282.4,501.6,556.1,84.1
1,POINT,SLOW,HIGH,20,900.0,0.0,397.52,29.743962905856304,True,0.533,15.85,120.0,-94.69,-73.71,287.0,92.0,296.9,104.3,282.4,501.6
1,POINT,FAST,MEDIUM,1,1553.0,1.0,,10.26724757329938,True,0.698,7.17,124.83,120.58,32.31,229.0,353.0,236.0,354.3,,
1,POINT,FAST,MEDIUM,2,764.0,0.0,170.84,23.857005007711532,True,0.783,18.68,85.69,76.83,-37.94,258.0,195.0,275.3,188.1,236.0,354.3
1,POINT,FAST,MEDIUM,3,1157.0,1.0,195.44,15.779107610739864,True,0.883,13.93,118.09,-114.78,27.77,482.0,220.0,468.9,215.4,275.3,188.1
1,POINT,FAST,MEDIUM,4,698.0,0.0,315.02,27.215398848318642,True,0.266,7.25,127.06,-88.41,-91.26,163.0,178.0,156.4,174.9,468.9,215.4
1,POINT,FAST,MEDIUM,5,869.0,0.0,369.22,13.238719416970941,True,0.584,7.73,75.44,29.79,69.31,461.0,397.0,454.5,392.8,156.4,174.9
1,POINT,FAST,MEDIUM,6,904.0,0.0,321.41,12.063395827830028,True,0.91,10.98,120.95,120.9,3.36,157.0,302.0,148.2,295.4,454.5,392.8
1,POINT,FAST,MEDIUM,7,1999.0,3.0,329.61,12.002360748313963,True,0.734,8.81,135.36,-134.16,-18.01,386.0,534.0,377.3,532.4,148.2,295.4
1,POINT,FAST,MEDIUM,8,1507.0,1.0,79.66,21.593520943858678,True,0.726,15.67,88.67,-21.29,-86.08,384.0,467.0,393.2,454.3,377.3,532.4
1,POINT,FAST,MEDIUM,9,731.0,0.0,75.28,28.919547019191068,True,0.316,9.14,102.85,71.79,73.65,418.0,526.0,426.2,521.9,393.2,454.3
1,POINT,FAST,MEDIUM,10,1494.0,1.0,371.83,21.62223646383882,True,0.637,13.78,138.44,-107.28,-87.5,207.0,237.0,194.5,231.1,426.2,521.9
1,POINT,FAST,MEDIUM,11,970.0,0.0,197.68,19.17065234636842,True,0.384,7.36,133.77,113.92,-70.11,101.0,62.0,104.1,55.3,194.5,231.1
1,POINT,FAST,MEDIUM,12,879.0,0.0,272.19,10.771489569131095,True,0.417,4.49,141.54,14.13,-140.83,336.0,203.0,335.6,198.5,104.1,55.3
1,POINT,FAST,MEDIUM,13,2147.0,3.0,406.89,14.409076673306004,True,0.531,7.66,141.53,0.0,141.53,575.0,518.0,579.6,524.1,335.6,198.5
1,POINT,FAST,MEDIUM,14,797.0,0.0,207.55,24.102326101554045,True,0.952,22.94,136.9,-51.27,126.94,535.0,303.0,525.3,323.8,579.6,524.1
1,POINT,FAST,MEDIUM,15,912.0,0.0,363.29,19.490205277602115,True,0.492,9.59,135.1,-126.97,-46.18,254.0,551.0,245.6,555.6,525.3,323.8
1,POINT,FAST,MEDIUM,16,1616.0,1.0,513.81,28.00063328810588,True,0.719,20.14,110.51,-34.98,-104.83,123.0,73.0,131.3,54.6,245.6,555.6
1,POINT,FAST,MEDIUM,17,3338.0,3.0,452.21,14.077675440579247,True,0.165,2.32,122.78,41.37,115.61,357.0,447.0,358.8,445.5,131.3,54.6
1,POINT,FAST,MEDIUM,18,839.0,0.0,316.83,25.681201920268425,True,0.31,7.97,130.98,130.23,-13.96,182.0,173.0,185.9,179.9,358.8,445.5
1,POINT,FAST,MEDIUM,20,2007.0,1.0,381.66,13.300130139854584,True,0.577,7.68,107.61,-61.95,87.99,376.0,412.0,370.4,406.7,583.5,90.1
1,POINT,STATIC,HIGH,1,771.0,0.0,,22.661790855854452,True,0.374,8.48,0.0,0.0,0.0,245.0,501.0,242.3,493.0,,
1,POINT,STATIC,HIGH,2,758.0,0.0,348.37,17.548184825836085,True,0.403,7.07,0.0,0.0,0.0,567.0,349.0,560.0,350.0,242.3,493.0
1,POINT,STATIC,HIGH,3,828.0,0.0,480.17,17.598379948580924,True,0.867,15.25,0.0,0.0,0.0,119.0,523.0,108.1,512.3,560.0,350.0
1,POINT,STATIC,HIGH,4,527.0,0.0,219.97,29.43535545792821,True,0.474,13.95,0.0,0.0,0.0,321.0,441.0,312.2,430.2,108.1,512.3
1,POINT,STATIC,HIGH,5,690.0,0.0,310.09,19.172443809315,True,0.274,5.25,0.0,0.0,0.0,373.0,124.0,367.9,125.2,312.2,430.2
1,POINT,STATIC,HIGH,6,763.0,0.0,174.47,17.768041352985747,True,0.625,11.11,0.0,0.0,0.0,525.0,37.0,524.4,48.1,367.9,125.2
1,POINT,STATIC,HIGH,7,734.0,0.0,102.45,11.070646608095467,True,0.44,4.87,0.0,0.0,0.0,419.0,46.0,422.0,49.9,524.4,48.1
1,POINT,STATIC,HIGH,8,792.0,0.0,299.84,15.61534526818316,True,0.25,3.9,0.0,0.0,0.0,121.0,90.0,124.9,90.4,422.0,49.9
1,POINT,STATIC,HIGH,9,742.0,0.0,354.13,12.286681707001886,True,0.185,2.27,0.0,0.0,0.0,303.0,399.0,301.4,397.4,124.9,90.4
1,POINT,STATIC,HIGH,10,826.0,0.0,393.44,13.200733869199029,True,0.632,8.35,0.0,0.0,0.0,535.0,81.0,541.7,85.9,301.4,397.4
1,POINT,STATIC,HIGH,11,561.0,0.0,147.16,24.814916247577518,True,0.495,12.28,0.0,0.0,0.0,414.0,150.0,415.9,162.1,541.7,85.9
1,POINT,STATIC,HIGH,12,603.0,0.0,269.33,17.67294799133933,True,0.903,15.95,0.0,0.0,0.0,283.0,394.0,268.4,387.5,415.9,162.1
1,POINT,STATIC,HIGH,13,919.0,0.0,212.94,10.500230090893394,True,0.603,6.33,0.0,0.0,0.0,73.0,455.0,66.7,455.8,268.4,387.5
1,POINT,STATIC,HIGH,14,584.0,0.0,262.16,21.020522303823405,True,0.679,14.28,0.0,0.0,0.0,172.0,207.0,158.1,210.1,66.7,455.8
1,POINT,STATIC,HIGH,15,625.0,0.0,53.19,23.373754908973314,True,0.406,9.49,0.0,0.0,0.0,101.0,236.0,109.9,232.6,158.1,210.1
1,POINT,STATIC,HIGH,16,658.0,0.0,185.48,14.666843916617168,True,0.368,5.4,0.0,0.0,0.0,243.0,111.0,247.9,108.7,109.9,232.6
1,POINT,STATIC,HIGH,17,680.0,0.0,219.76,17.111481146058356,True,0.549,9.39,0.0,0.0,0.0,145.0,313.0,151.5,306.2,247.9,108.7
1,POINT,STATIC,HIGH,18,590.0,0.0,270.62,24.858364246004612,True,0.727,18.08,0.0,0.0,0.0,419.0,405.0,401.5,409.6,151.5,306.2
1,POINT,STATIC,HIGH,19,630.0,0.0,136.1,22.14744956193853,True,0.617,13.66,0.0,0.0,0.0,550.0,421.0,536.8,424.5,401.5,409.6
1,POINT,STATIC,HIGH,20,586.0,0.0,423.79,26.138294847043213,True,0.411,10.73,0.0,0.0,0.0,190.0,199.0,179.6,196.6,536.8,424.5
1,POINT,SLOW,MEDIUM,1,779.0,0.0,,13.163989642958093,True,0.481,6.34,120.0,65.15,-100.77,504.0,145.0,505.2,138.8,,
1,POINT,SLOW,MEDIUM,2,677.0,0.0,175.58,25.104552677601056,True,0.553,13.88,120.0,-117.38,24.92,345.0,116.0,331.1,115.6,505.2,138.8
1,POINT,SLOW,MEDIUM,3,1020.0,1.0,97.85,10.06877720485715,True,0.149,1.5,120.0,34.55,114.92,429.0,102.0,428.2,103.3,331.1,115.6
