,technique,movement,n,slope_ms,intercept_ms,r2,tp_bps
BUBBLE_STATIC,BUBBLE,STATIC,171,47.93,632.27,0.0143,20.863
BUBBLE_SLOW,BUBBLE,SLOW,171,12.24,1125.78,0.0001,81.719
BUBBLE_FAST,BUBBLE,FAST,171,260.37,525.6,0.0214,3.841
POINT_STATIC,POINT,STATIC,171,71.05,587.32,0.0737,14.075
POINT_SLOW,POINT,SLOW,171,320.56,399.57,0.0321,3.12
POINT_FAST,POINT,FAST,171,722.98,-457.14,0.067,1.383
AREA_STATIC,AREA,STATIC,171,80.99,589.65,0.0416,12.347
AREA_SLOW,AREA,SLOW,171,330.91,361.5,0.0426,3.022
AREA_FAST,AREA,FAST,171,253.02,804.71,0.0166,3.952
