hypothesis,level1,level2,n,mean_A,mean_B,mean_diff,t,p,cohen_d,sig,value
H1b_clustering_interaction,attenuation_area_vs_point_LOW_vs_HIGH,t,,,,,,,,,1.929
H1b_clustering_interaction,attenuation_area_vs_point_LOW_vs_HIGH,p,,,,,,,,,0.1936
H1b_clustering_interaction,attenuation_area_vs_point_LOW_vs_HIGH,cohen_d,,,,,,,,,1.113
H1b_clustering_interaction,attenuation_area_vs_point_LOW_vs_HIGH,sig,,,,,,,,,False
H1b_clustering_interaction,attenuation_area_vs_point_LOW_vs_HIGH,H1b1_attenuation_confirmed,,,,,,,,,False
H1b_clustering_interaction,attenuation_area_vs_point_LOW_vs_HIGH,note,,,,,,,,,H1b1: AREA advantage shrinks from LOW to HIGH clustering; significant t confirms attenuation
H1b_clustering_interaction,attenuation_bubble_vs_point_LOW_vs_HIGH,mean_advantage_LOW,,,,,,,,,0.9744
H1b_clustering_interaction,attenuation_bubble_vs_point_LOW_vs_HIGH,mean_advantage_HIGH,,,,,,,,,0.47
H1b_clustering_interaction,attenuation_bubble_vs_point_LOW_vs_HIGH,t,,,,,,,,,1.444
H1b_clustering_interaction,attenuation_bubble_vs_point_LOW_vs_HIGH,p,,,,,,,,,0.2855
H1b_clustering_interaction,attenuation_bubble_vs_point_LOW_vs_HIGH,cohen_d,,,,,,,,,0.834
H1b_clustering_interaction,attenuation_bubble_vs_point_LOW_vs_HIGH,sig,,,,,,,,,False
H1b_clustering_interaction,attenuation_bubble_vs_point_LOW_vs_HIGH,H1b1_attenuation_confirmed,,,,,,,,,False
H1b_clustering_interaction,attenuation_bubble_vs_point_LOW_vs_HIGH,note,,,,,,,,,H1b1: BUBBLE advantage shrinks from LOW to HIGH clustering; significant t confirms attenuation
H1c_motion_moderation,LOW_STATIC,BUBBLE_vs_POINT,3.0,,,0.6733,1.072,0.3961,0.619,False,
H1c_motion_moderation,LOW_STATIC,BUBBLE_vs_AREA,3.0,,,0.31,0.707,0.5526,0.408,False,
H1c_motion_moderation,LOW_SLOW,BUBBLE_vs_POINT,3.0,,,1.39,1.973,0.1872,1.139,False,
H1c_motion_moderation,LOW_SLOW,BUBBLE_vs_AREA,3.0,,,0.93,8.054,0.0151,4.65,True,
H1c_motion_moderation,LOW_FAST,BUBBLE_vs_POINT,3.0,,,0.86,1.345,0.3109,0.776,False,
H1c_motion_moderation,LOW_FAST,BUBBLE_vs_AREA,3.0,,,0.31,1.51,0.2701,0.872,False,
H1c_motion_moderation,MEDIUM_STATIC,BUBBLE_vs_POINT,3.0,,,0.46,0.676,0.5685,0.391,False,
H1c_motion_moderation,MEDIUM_STATIC,BUBBLE_vs_AREA,3.0,,,0.31,0.918,0.4556,0.53,False,
H1c_motion_moderation,MEDIUM_SLOW,BUBBLE_vs_POINT,3.0,,,0.83,1.144,0.371,0.661,False,
H1c_motion_moderation,MEDIUM_SLOW,BUBBLE_vs_AREA,3.0,,,0.1933,0.465,0.6877,0.268,False,
H1c_motion_moderation,MEDIUM_FAST,BUBBLE_vs_POINT,3.0,,,0.9867,2.084,0.1725,1.203,False,
H1c_motion_moderation,MEDIUM_FAST,BUBBLE_vs_AREA,3.0,,,0.81,1.703,0.2307,0.983,False,
H1c_motion_moderation,HIGH_STATIC,BUBBLE_vs_POINT,3.0,,,-0.0067,-0.017,0.9882,-0.01,False,
H1c_motion_moderation,HIGH_STATIC,BUBBLE_vs_AREA,3.0,,,0.4033,1.997,0.184,1.153,False,
H1c_motion_moderation,HIGH_SLOW,BUBBLE_vs_POINT,3.0,,,0.4,0.996,0.4241,0.575,False,
H1c_motion_moderation,HIGH_SLOW,BUBBLE_vs_AREA,3.0,,,0.2767,1.667,0.2374,0.962,False,
H1c_motion_moderation,HIGH_FAST,BUBBLE_vs_POINT,3.0,,,1.0167,2.022,0.1806,1.167,False,
H1c_motion_moderation,HIGH_FAST,BUBBLE_vs_AREA,3.0,,,0.4867,0.875,0.474,0.505,False,
H1c_motion_moderation,_H1c1_summary,bubble_minus_point_HIGH_FAST,,,,,,,,,1.0167
H1c_motion_moderation,_H1c1_summary,mean_bubble_minus_point_other_cells,,,,,,,,,0.6992
H1c_motion_moderation,_H1c1_summary,H1c1_diminishment_at_fast_high,,,,,,,,,False
H1c_motion_moderation,_H1c1_summary,note,,,,,,,,,H1c1: Bubble advantage expected to be smallest at HIGH×FAST; compare HIGH_FAST cell against mean of remaining 8 cells
