,technique,model,n,slope_ms,intercept_ms,r,r2,p,tp_bps,se
BUBBLE_fitts,BUBBLE,fitts,513,123.09,719.19,0.093,0.0086,0.035289,8.124,58.319
BUBBLE_hoffmann,BUBBLE,hoffmann,513,152.25,360.93,0.2612,0.0682,0.0,6.568,24.8939
POINT_fitts,POINT,fitts,513,378.83,161.66,0.1919,0.0368,1.2e-05,2.64,85.7232
POINT_hoffmann,POINT,hoffmann,513,296.36,-124.15,0.3299,0.1088,0.0,3.374,37.5181
AREA_fitts,AREA,fitts,513,250.97,501.3,0.1673,0.028,0.000141,3.985,65.4278
AREA_hoffmann,AREA,hoffmann,513,233.8,133.29,0.3502,0.1226,0.0,4.277,27.6641
