,throughput_shannon_nominal_bps,throughput_shannon_nominal_bps,throughput_shannon_nominal_bps,throughput_shannon_nominal_bps,throughput_shannon_effective_bps,throughput_shannon_effective_bps,throughput_shannon_effective_bps,throughput_shannon_effective_bps,throughput_hoffmann_bps,throughput_hoffmann_bps,throughput_hoffmann_bps,throughput_hoffmann_bps,avgTime_ms,avgTime_ms,avgTime_ms,avgTime_ms,precisionRate_percent,precisionRate_percent,precisionRate_percent,precisionRate_percent,avgErrorClicks,avgErrorClicks,avgErrorClicks,avgErrorClicks,avgNormalizedDistance,avgNormalizedDistance,avgNormalizedDistance,avgNormalizedDistance,avgDistanceFromCenter_px,avgDistanceFromCenter_px,avgDistanceFromCenter_px,avgDistanceFromCenter_px
,mean,std,median,sem,mean,std,median,sem,mean,std,median,sem,mean,std,median,sem,mean,std,median,sem,mean,std,median,sem,mean,std,median,sem,mean,std,median,sem
movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATIC,4.111,1.069,4.43,0.206,4.08,0.787,4.03,0.151,4.111,1.069,4.43,0.206,806.504,230.015,732.3,44.266,89.074,15.753,100.0,3.032,0.1,0.161,0.0,0.031,0.623,0.26,0.572,0.05,11.711,5.615,9.96,1.081
SLOW,3.29,1.334,3.38,0.257,2.975,1.033,3.24,0.199,6.175,2.303,6.36,0.443,1325.95,770.897,938.0,148.359,83.704,21.644,90.0,4.165,0.363,0.359,0.3,0.069,0.758,0.336,0.616,0.065,13.649,6.009,11.87,1.157
FAST,3.129,1.314,3.27,0.253,2.75,0.952,3.06,0.183,5.715,2.246,5.84,0.432,1568.628,954.435,1146.8,183.681,79.259,23.644,85.0,4.55,0.648,0.554,0.6,0.107,0.844,0.352,0.73,0.068,15.029,6.205,13.05,1.194
