participant,technique,movement,clustering,n_trials,mean_mt_ms,median_mt_ms,sd_mt_ms,total_errors,mean_errors,mean_dist_px,precision,mean_amplitude,mean_shannon_id,throughput_shannon_bps
1,AREA,FAST,HIGH,20,821.4,714.5,271.977437144682,6,0.3,12.877500000000001,1.0,296.2557894736842,2.9958652645510315,3.8183138900385942
3,BUBBLE,STATIC,LOW,20,1107.0,1054.0,238.8952644328076,0,0.0,8.7805,0.85,311.95736842105265,3.304915489691485,3.1221282035718794
3,BUBBLE,STATIC,MEDIUM,20,1257.0,1258.0,303.2980122099819,0,0.0,5.9555,1.0,250.59105263157892,2.6862456824156316,2.1900516707651865
3,BUBBLE,STATIC,HIGH,20,1007.5,1013.0,177.16941045225613,0,0.0,13.012,0.8,281.531052631579,2.8110748218524733,2.815515186078361
3,BUBBLE,SLOW,LOW,20,1333.8,1236.0,430.918187374966,0,0.0,19.052,0.5,272.7473684210526,2.935814057095344,2.3821771703676964
3,BUBBLE,SLOW,MEDIUM,20,2720.9,2103.0,1887.1876569730896,3,0.15,18.310499999999998,0.7,237.05526315789476,2.8575938055575274,1.3396097719913467
3,BUBBLE,SLOW,HIGH,20,2124.2,1729.0,1249.5388454609124,3,0.15,13.437000000000001,0.9,218.67263157894735,2.639957148496316,1.4869436124877464
3,BUBBLE,FAST,LOW,20,2387.9,2291.0,1305.8141199226916,2,0.1,17.238,0.55,358.87368421052633,3.345331337473394,1.6789143171548195
3,BUBBLE,FAST,MEDIUM,20,2189.4,1440.0,1898.4170802345611,9,0.45,18.1405,0.65,307.2215789473684,3.1010497627182114,1.9563374193302978
3,BUBBLE,FAST,HIGH,20,2948.3,2207.0,2014.2526131232114,13,0.65,14.7655,0.7,336.80947368421056,3.379990775288492,1.4392519671092456
3,POINT,STATIC,LOW,20,962.1,929.0,143.43819501608937,0,0.0,13.225,1.0,296.43894736842105,2.9077421690147767,3.082800574155651
3,POINT,STATIC,MEDIUM,20,1002.6,975.0,217.41941035703323,0,0.0,8.883,1.0,294.53210526315786,3.0217850527830814,3.0873269765669527
3,POINT,STATIC,HIGH,20,1000.2,984.0,192.52111299119488,0,0.0,7.959999999999999,1.0,339.5957894736842,3.409545372070619,3.4935320618577292
3,POINT,SLOW,LOW,20,1911.4,1288.0,2188.456904088502,6,0.3,12.334,1.0,281.3836842105263,2.97311184453894,2.224064223275974
3,POINT,SLOW,MEDIUM,20,2540.8,1562.0,2659.833188279612,15,0.75,9.436499999999999,1.0,280.06263157894733,3.015310121456663,1.7980080731058445
3,POINT,SLOW,HIGH,20,2160.0,1754.0,1146.628559138302,8,0.4,7.498,1.0,244.81000000000003,3.0539440990073845,1.7650110905697733
3,POINT,FAST,LOW,20,2604.1,1736.0,2655.582836215056,13,0.65,10.2645,1.0,328.83947368421053,3.309302118101908,1.882537621305702
3,POINT,FAST,MEDIUM,20,2628.2,1777.0,3270.575671201116,15,0.75,13.046000000000001,1.0,332.4636842105263,3.201516178477882,1.8899871841346276
3,POINT,FAST,HIGH,20,3541.0,2051.0,4053.9849920528163,15,0.75,8.941500000000001,1.0,250.9357894736842,2.884696019396849,1.2687066215661582
3,AREA,STATIC,LOW,20,905.8,860.0,146.66668261562913,0,0.0,13.8315,0.8,222.03421052631577,2.5500368067901333,2.8974432859366352
3,AREA,STATIC,MEDIUM,20,1298.0,1304.0,221.04917290527297,0,0.0,4.7095,1.0,279.8194736842105,3.161698889251221,2.4710729534303346
3,AREA,STATIC,HIGH,20,1261.5,1296.0,162.95543465687334,0,0.0,4.4464999999999995,1.0,217.8936842105263,2.7128319410314163,2.139490745790687
3,AREA,SLOW,LOW,20,2384.8,1945.0,1519.5585785629357,1,0.05,10.0445,0.95,305.9552631578947,3.0255335335902487,1.4545468506022932
3,AREA,SLOW,MEDIUM,20,2647.5,1421.0,2139.6331092281366,7,0.35,12.463,0.9,242.76052631578946,2.8144750321470924,1.639718143981444
3,AREA,SLOW,HIGH,20,2959.9,2680.0,1675.7979371976176,6,0.3,11.136,1.0,301.0542105263158,3.010519232216035,1.3095753688534142
3,AREA,FAST,LOW,20,3078.9,2266.0,1827.7692443320946,0,0.0,11.3475,0.8,325.2294736842105,3.3029056467508977,1.4927504816018595
3,AREA,FAST,MEDIUM,20,2547.9,1818.0,1903.0181540744277,7,0.35,12.1585,1.0,281.95894736842104,3.0072003793074606,1.5803951460487493
3,AREA,FAST,HIGH,20,3365.4,2369.0,2535.4914897780354,5,0.25,10.656,1.0,344.8863157894737,3.3651452903612125,1.3777860384890814
10,BUBBLE,STATIC,LOW,20,473.25,471.5,23.210421887818548,0,0.0,32.3515,0.4,312.3452631578947,2.997816252558206,6.36111413153873
10,BUBBLE,STATIC,MEDIUM,20,542.5,505.5,116.83389018061855,1,0.05,20.327,0.65,278.07947368421054,2.818885742459987,5.397175892329019
