participant,technique,movement,clustering,conditionIndex,techBlock,trialNumber,time_ms,errorClickCount,clickX,clickY,targetX,targetY,distanceToCenter_px,normalizedDistance,clickedInsideTarget,amplitude_px,targetRadius,targetVx_px_per_s,targetVy_px_per_s,targetSpeed_px_per_s,shannon_id_bits
1,POINT,STATIC,MEDIUM,1,1,16.0,705,0,552.0,376.0,552.7,383.9,7.96,0.507,True,140.95,15.683231022146739,0.0,0.0,0.0,2.4577658184634457
1,POINT,STATIC,MEDIUM,1,1,17.0,867,0,509.0,559.0,519.1,554.7,10.93,0.913,True,174.07,11.969898891665052,0.0,0.0,0.0,3.048088947336032
1,POINT,STATIC,MEDIUM,1,1,18.0,686,0,173.0,522.0,166.1,520.8,7.0,0.328,True,354.58,21.316569825674712,0.0,0.0,0.0,3.2198661380667617
1,POINT,STATIC,MEDIUM,1,1,19.0,706,0,495.0,71.0,509.1,78.8,16.06,0.673,True,559.5,23.872841671287198,0.0,0.0,0.0,3.6688381183787544
1,POINT,STATIC,MEDIUM,1,1,20.0,708,0,68.0,303.0,68.5,290.1,12.93,0.624,True,488.63,20.727249113395402,0.0,0.0,0.0,3.676621788964043
1,POINT,SLOW,HIGH,2,1,1.0,1527,1,223.0,502.0,215.6,508.1,9.59,0.876,True,,10.94039704958097,-62.58,102.39,120.0,
1,POINT,SLOW,HIGH,2,1,2.0,839,0,86.0,347.0,82.8,356.6,10.11,0.782,True,201.45,12.929806737924942,50.33,108.94,120.0,3.135886084093769
1,POINT,SLOW,HIGH,2,1,3.0,1741,2,530.0,244.0,529.3,249.0,5.05,0.426,True,459.28,11.853093946758671,12.25,119.37,120.0,4.348646340448355
1,POINT,SLOW,HIGH,2,1,4.0,1099,1,207.0,219.0,207.0,216.4,2.63,0.093,True,323.98,28.089830885252358,-90.29,-79.04,120.0,2.7584856138189595
1,POINT,SLOW,HIGH,2,1,5.0,757,0,409.0,287.0,419.9,287.9,10.92,0.83,True,224.61,13.14979304575523,112.33,42.22,120.0,3.2540555911190636
1,POINT,SLOW,HIGH,2,1,6.0,681,0,411.0,205.0,421.5,205.0,10.51,0.477,True,82.9,22.02547815678617,117.53,-24.22,120.0,1.527026018320348
1,POINT,SLOW,HIGH,2,1,7.0,1823,1,473.0,408.0,470.7,402.2,6.23,0.523,True,203.21,11.92545736528871,-102.01,-63.2,120.0,3.2509628855606163
1,POINT,SLOW,HIGH,2,1,8.0,1627,0,71.0,109.0,66.9,96.2,13.43,0.867,True,506.62,15.495404435002346,90.7,78.57,120.0,4.116649829012066
1,POINT,SLOW,HIGH,2,1,9.0,1472,0,190.0,520.0,192.2,522.8,3.55,0.222,True,444.61,15.997720507752664,-80.13,-89.33,120.0,3.8968571643720447
1,POINT,SLOW,HIGH,2,1,10.0,1189,1,395.0,99.0,393.6,84.3,14.76,0.849,True,482.51,17.37270340319226,94.04,74.54,120.0,3.895982643012884
1,POINT,SLOW,HIGH,2,1,11.0,891,0,259.0,445.0,252.6,445.4,6.41,0.607,True,387.61,10.56527534895829,-120.0,-1.02,120.0,4.273783106687934
1,POINT,SLOW,HIGH,2,1,12.0,965,0,312.0,37.0,309.1,27.6,9.88,0.837,True,421.61,11.797173902074631,82.22,-87.41,120.0,4.23795448380122
1,POINT,SLOW,HIGH,2,1,13.0,911,0,255.0,449.0,258.6,448.2,3.67,0.307,True,423.63,11.972158331978056,107.73,52.86,120.0,4.224372083091339
1,POINT,SLOW,HIGH,2,1,14.0,952,0,253.0,59.0,254.8,55.2,4.22,0.326,True,393.03,12.955246066661738,109.01,-50.18,120.0,4.015137009852285
1,POINT,SLOW,HIGH,2,1,15.0,1111,0,523.0,77.0,522.8,78.8,1.83,0.13,True,269.11,14.054146607936719,-114.25,-36.7,120.0,3.402455155166768
1,POINT,SLOW,HIGH,2,1,16.0,841,0,459.0,559.0,469.0,562.1,10.44,0.36,True,486.23,29.02879247672848,-119.98,2.42,120.0,3.2288126630566896
1,POINT,SLOW,HIGH,2,1,17.0,870,0,323.0,169.0,320.8,171.2,3.14,0.235,True,417.96,13.357598790637404,91.87,77.2,120.0,4.057019346225966
1,POINT,SLOW,HIGH,2,1,18.0,819,0,575.0,87.0,556.1,84.1,19.07,0.737,True,250.95,25.875280583268196,-95.38,72.82,120.0,2.5482449377993226
1,POINT,SLOW,HIGH,2,1,19.0,1284,1,285.0,523.0,282.4,501.6,21.56,0.882,True,499.2,24.44472281151081,-54.03,-107.15,120.0,3.4868164021979955
1,POINT,SLOW,HIGH,2,1,20.0,900,0,287.0,92.0,296.9,104.3,15.85,0.533,True,397.52,29.743962905856304,-94.69,-73.71,120.0,2.941550404641036
1,POINT,FAST,MEDIUM,3,1,1.0,1553,1,229.0,353.0,236.0,354.3,7.17,0.698,True,,10.26724757329938,120.58,32.31,124.83,
1,POINT,FAST,MEDIUM,3,1,2.0,764,0,258.0,195.0,275.3,188.1,18.68,0.783,True,170.84,23.857005007711532,76.83,-37.94,85.69,2.1955050042928224
1,POINT,FAST,MEDIUM,3,1,3.0,1157,1,482.0,220.0,468.9,215.4,13.93,0.883,True,195.44,15.779107610739864,-114.78,27.77,118.09,2.8465934333530543
1,POINT,FAST,MEDIUM,3,1,4.0,698,0,163.0,178.0,156.4,174.9,7.25,0.266,True,315.02,27.215398848318642,-88.41,-91.26,127.06,2.762887159165632
1,POINT,FAST,MEDIUM,3,1,5.0,869,0,461.0,397.0,454.5,392.8,7.73,0.584,True,369.22,13.238719416970941,29.79,69.31,75.44,3.901562245514503
1,POINT,FAST,MEDIUM,3,1,6.0,904,0,157.0,302.0,148.2,295.4,10.98,0.91,True,321.41,12.063395827830028,120.9,3.36,120.95,3.8401313463475866
1,POINT,FAST,MEDIUM,3,1,7.0,1999,3,386.0,534.0,377.3,532.4,8.81,0.734,True,329.61,12.002360748313963,-134.16,-18.01,135.36,3.8807882344557054
1,POINT,FAST,MEDIUM,3,1,8.0,1507,1,384.0,467.0,393.2,454.3,15.67,0.726,True,79.66,21.593520943858678,-21.29,-86.08,88.67,1.5081927114287357
